file,GENERATE|0:OUTPUT|1,INPUT|1:CONTENT|1:CONDITION|1:TARGET|1:NO_SOURCE_PERMISSIONS|0:USE_SOURCE_PERMISSIONS|0:FILE_PERMISSIONS|-1:NEWLINE_STYLE|1,
file,CONFIGURE|0:OUTPUT|1,CONTENT|1:ESCAPE_QUOTES|0:@ONLY|0:NEWLINE_STYLE|1,
file,GLOB|1,LIST_DIRECTORIES|1:RELATIVE|1:CONFIGURE_DEPENDS|0,
file,GLOB_RECURSE|1,FOLLOW_SYMLINKS|0:LIST_DIRECTORIES|1:RELATIVE|1:CONFIGURE_DEPENDS|0,
file,MAKE_DIRECTORY|-1,RESULT|1,
file,REMOVE|-1:REMOVE_RECURSE|-1,,
file,RENAME|2,RESULT|1:NO_REPLACE|0,
file,COPY_FILE|2,RESULT|1:ONLY_IF_DIFFERENT|0:INPUT_MAY_BE_RECENT|0,
file,COPY|-1:INSTALL|-1,DESTINATION|1:NO_SOURCE_PERMISSIONS|0:USE_SOURCE_PERMISSIONS|0:FILE_PERMISSIONS|-1:DIRECTORY_PERMISSIONS|-1:FOLLOW_SYMLINK_CHAIN|0:FILES_MATCHING|0:PATTERN|1:REGEX|1:EXCLUDE|0:PERMISSIONS|-1,
file,SIZE|2:READ_SYMLINK|2,,
file,CREATE_LINK|2,RESULT|1:COPY_ON_ERROR|0:SYMBOLIC|0,
file,CHMOD|-1:CHMOD_RECURSE|-1PERMISSIONS|-1:FILE_PERMISSIONS|-1:DIRECTORY_PERMISSIONS|-1,,
file,REAL_PATH|2,BASE_DIRECTORY|1:EXPAND_TILDE|0,
file,RELATIVE_PATH|3:TO_CMAKE_PATH|2:TO_NATIVE_PATH|2,,
file,DOWNLOAD|-1,INACTIVITY_TIMEOUT|1:LOG|1:SHOW_PROGRESS|0:STATUS|1:TIMEOUT|1:USERPWD|1:HTTPHEADER|1:NETRC|1:NETRC_FILE|1:TLS_VERSION|1:TLS_VERIFY|1:TLS_CAINFO|1:EXPECTED_HASH|1:EXPECTED_MD5|1:RANGE_START|1:RANGE_END|1,
file,UPLOAD|-1,INACTIVITY_TIMEOUT|1:LOG|1:SHOW_PROGRESS|0:STATUS|1:TIMEOUT|1:USERPWD|1:HTTPHEADER|1:NETRC|1:NETRC_FILE|1:TLS_VERSION|1:TLS_VERIFY|1:TLS_CAINFO|1,
file,LOCK|1,DIRECTORY|0:RELEASE|0:GUARD|1:RESULT_VARIABLE|1:TIMEOUT|1,
file,ARCHIVE_CREATE|0:OUTPUT|1,PATHS|-1,FORMAT|1:COMPRESSION|1:COMPRESSION_LEVEL|1:MTIME|1:WORKING_DIRECTORY|1:VERBOSE|0
file,ARCHIVE_EXTRACT|0:INPUT|1,DESTINATION|1:PATTERNS|-1:LIST_ONLY|0:VERBOSE|0:TOUCH|0,
file,GET_RUNTIME_DEPENDENCIES|0:RESOLVED_DEPENDENCIES_VAR|1:UNRESOLVED_DEPENDENCIES_VAR|1:CONFLICTING_DEPENDENCIES_PREFIX|1:EXECUTABLES|-1:LIBRARIES|-1:MODULES|-1:DIRECTORIES|-1:BUNDLED_EXECUTABLE|1:PRE_INCLUDE|REGEXES|-1:PRE_EXCLUDE_REGEXES|-1:POST_INCLUDE_REGEXES|-1:POST_EXCLUDE_REGEXES|-1:POST_INCLUDE_FILES|-1:POST_EXCLUDE_FILES|-1,,
